fund,country_id,code2,type,start,end,notes
DDILIGENCE,KGZ,KG,,,,n/a
DDILIGENCE,LBR,LR,,,,n/a
DDILIGENCE,LKA,LK,,,,n/a
DDILIGENCE,LSO,LS,,,,n/a
DDILIGENCE,MAR,MA,,,,n/a
DDILIGENCE,MDA,MD,,,,n/a
DDILIGENCE,MDG,MG,,,,n/a
DDILIGENCE,MLI,ML,,,,n/a
DDILIGENCE,MNG,MN,,,,n/a
DDILIGENCE,MOZ,MZ,,,,n/a
DDILIGENCE,MWI,MW,,,,n/a
DDILIGENCE,NA,,,,,n/a
DDILIGENCE,NAM,NA,,,,n/a
DDILIGENCE,NER,NE,,,,n/a
DDILIGENCE,NIC,NI,,,,n/a
DDILIGENCE,NPL,NP,,,,n/a
DDILIGENCE,PHL,PH,,,,n/a
DDILIGENCE,RWA,RW,,,,n/a
DDILIGENCE,SEN,SN,,,,n/a
DDILIGENCE,SL2,,,,,n/a
DDILIGENCE,SLV,SV,,,,n/a
DDILIGENCE,TLS,TL,,,,n/a
DDILIGENCE,TZA,TZ,,,,n/a
DDILIGENCE,UKR,UA,,,,n/a
DDILIGENCE,VUT,VU,,,,n/a
DDILIGENCE,ZMB,ZM,,,,n/a
FUTURE,NA,,,,,n/a
THRESHOLD,NA,,,,,n/a
THRESHOLD,STP,ST,,,,n/a
